device_id,imei,tractor_id,farm_id,farm_name,points_count,first_point,last_point,status,device_type
3,867717034602350,,,,30776,2026-05-21 20:16:50,2026-06-09 19:04:12,unbound,tractor_gps
8,867994064030931,,,,494828,2025-10-23 00:29:52,2026-07-19 06:16:17,unbound,tractor_gps
18,868613062071601,,,,156022,2025-10-23 00:06:07,2026-06-28 16:39:50,unbound,tractor_gps
20,867717034453416,,,,13382,2026-06-05 10:45:13,2026-07-19 07:23:52,unbound,tractor_gps
24,867717034662222,,,,470404,2026-06-04 12:54:43,2026-07-19 06:15:20,unbound,tractor_gps
26,867717034661455,,,,44433,2026-06-06 20:49:46,2026-07-19 05:52:29,unbound,tractor_gps
27,9797979981664,46,71,باغ یک,0,,,bound_tractor_gps,tractor_gps
30,861826074262144,,,,363614,2025-10-23 00:12:20,2026-07-19 19:35:33,unbound,tractor_gps
31,868064071065855,,,,59765,2026-06-10 09:52:15,2026-07-18 06:50:48,unbound,
32,155558,,,,0,,,unbound,
33,33366699944,,,,0,,,unbound,
34,955956,,,,0,,,unbound,
35,6564646,,,,0,,,unbound,
36,863070043386100,52,71,باغ یک,0,,,bound_tractor_gps,tractor_gps
37,863070043386102,51,71,باغ یک,0,,,bound_tractor_gps,tractor_gps
38,863070043386103,49,71,باغ یک,0,,,bound_tractor_gps,tractor_gps
39,6564656,,,,0,,,unbound,
40,895949,,,,0,,,unbound,
41,646466,,,,0,,,unbound,
42,899565666,,,,0,,,unbound,
44,864011064379789,60,68,باغ تست,72543,2025-10-30 22:44:16,2026-06-10 23:31:35,bound_tractor_gps,tractor_gps
47,867717034610734,,,,273497,2026-05-21 19:45:54,2026-06-29 20:35:24,unbound,tractor_gps
48,860260054439616,,,,1201,2025-11-25 19:45:27,2026-01-03 22:54:58,unbound,tractor_gps
49,863070044333077,,,,2162324,2025-12-05 17:23:02,2032-08-20 09:42:55,unbound,tractor_gps
50,863070046839105,,,,507410,2025-06-16 04:34:29,2026-03-03 13:58:30,unbound,tractor_gps
51,867994060632608,,,,0,,,unbound,tractor_gps
52,867717034651472,81,4,تات سبز یک,6253521,2025-12-06 08:58:26,2026-03-11 13:39:25,bound_tractor_gps,tractor_gps
53,863070043373009,,,,3263683,2025-11-25 21:58:42,2026-04-05 13:37:28,unbound,tractor_gps
54,863070044809159,,,,189263,2025-06-16 03:31:45,2065-12-06 11:09:11,unbound,
55,867994060623424,85,4,تات سبز یک,1029212,2025-11-04 13:50:10,2026-07-04 11:57:58,bound_tractor_gps,tractor_gps
56,863070043377794,84,4,تات سبز یک,956944,2025-06-16 03:33:53,2026-07-04 11:57:48,bound_tractor_gps,tractor_gps
57,,,,,0,,,unbound,mobile_phone
59,3469921039516888,,,,0,,,unbound,mobile_phone
62,863070044809158,,,,11266,2026-06-25 15:18:12,2026-06-25 15:33:52,unbound,
63,868064071199829,82,4,تات سبز یک,13981,2026-06-26 17:52:09,2026-07-04 11:57:59,bound,
64,861292053604220,83,4,تات سبز یک,12475,2026-06-26 16:17:22,2026-07-04 11:58:00,bound,
65,353201350783897,38,14,Tat Kadkhoda,133035,2004-01-01 03:30:24,2026-08-18 06:24:45,bound,
66,867994060623421,,,,0,,,unbound,
