imei,points_count,first_point,last_point,farm_name,tractor_id,device_id,status
867717034602350,30776,2026-05-21 20:16:50,2026-06-09 19:04:12,,,3,unbound
867994064030931,494828,2025-10-23 00:29:52,2026-07-19 06:16:17,,,8,unbound
868613062071601,156022,2025-10-23 00:06:07,2026-06-28 16:39:50,,,18,unbound
867717034453416,13382,2026-06-05 10:45:13,2026-07-19 07:23:52,,,20,unbound
867717034662222,470404,2026-06-04 12:54:43,2026-07-19 06:15:20,,,24,unbound
867717034661455,44433,2026-06-06 20:49:46,2026-07-19 05:52:29,,,26,unbound
9797979981664,0,,,باغ یک,46,27,bound_tractor_gps
861826074262144,363614,2025-10-23 00:12:20,2026-07-19 19:35:33,,,30,unbound
868064071065855,59765,2026-06-10 09:52:15,2026-07-18 06:50:48,,,31,unbound
155558,0,,,,,32,unbound
33366699944,0,,,,,33,unbound
955956,0,,,,,34,unbound
6564646,0,,,,,35,unbound
863070043386100,0,,,باغ یک,52,36,bound_tractor_gps
863070043386102,0,,,باغ یک,51,37,bound_tractor_gps
863070043386103,0,,,باغ یک,49,38,bound_tractor_gps
6564656,0,,,,,39,unbound
895949,0,,,,,40,unbound
646466,0,,,,,41,unbound
899565666,0,,,,,42,unbound
864011064379789,72543,2025-10-30 22:44:16,2026-06-10 23:31:35,باغ تست,60,44,bound_tractor_gps
867717034610734,273497,2026-05-21 19:45:54,2026-06-29 20:35:24,,,47,unbound
860260054439616,1201,2025-11-25 19:45:27,2026-01-03 22:54:58,,,48,unbound
863070044333077,2162324,2025-12-05 17:23:02,2032-08-20 09:42:55,,,49,unbound
863070046839105,507410,2025-06-16 04:34:29,2026-03-03 13:58:30,,,50,unbound
867994060632608,0,,,,,51,unbound
867717034651472,6253521,2025-12-06 08:58:26,2026-03-11 13:39:25,تات سبز یک,81,52,bound_tractor_gps
863070043373009,3263683,2025-11-25 21:58:42,2026-04-05 13:37:28,,,53,unbound
863070044809159,189263,2025-06-16 03:31:45,2065-12-06 11:09:11,,,54,unbound
867994060623424,1029212,2025-11-04 13:50:10,2026-07-04 11:57:58,تات سبز یک,85,55,bound_tractor_gps
863070043377794,956944,2025-06-16 03:33:53,2026-07-04 11:57:48,تات سبز یک,84,56,bound_tractor_gps
,0,,,,,57,unbound
3469921039516888,0,,,,,59,unbound
863070044809158,11266,2026-06-25 15:18:12,2026-06-25 15:33:52,,,62,unbound
868064071199829,13981,2026-06-26 17:52:09,2026-07-04 11:57:59,تات سبز یک,82,63,bound
861292053604220,12475,2026-06-26 16:17:22,2026-07-04 11:58:00,تات سبز یک,83,64,bound
353201350783897,133035,2004-01-01 03:30:24,2026-08-18 06:24:45,Tat Kadkhoda,38,65,bound
867994060623421,0,,,,,66,unbound
